L N N1 N2 N3 W S1 S2 S3 F1 F2 F3 C T T10 T25 T50 T75 T90
0 16 2 2 2 25000000 400 800 800 0.0 1.0 0.0 0 4.811409 2.719208 2.822609 4.811409 8.747155 9.017078
0 16 2 2 2 25000000 400 800 800 0.0 1.0 1.0 0 4.811409 2.719208 2.822609 4.811409 8.747155 9.017078
0 16 4 2 0 10000000 400 800 800 0.0 0.0 0.0 1 2.437482 1.918047 2.211717 2.437482 2.439604 2.516455
0 16 8 4 2 25000000 200 400 800 0.0 1.0 1.0 1 14.277482 11.375964 14.022681 14.277482 14.278164 15.096493
0 16 2 2 2 50000000 400 800 800 0.0 0.0 1.0 2 0.495275 0.397722 0.432248 0.495275 0.630849 0.749366
0 16 8 2 0 100000000 200 400 800 0.0 1.0 0.0 2 3.781676 3.542112 3.635497 3.781676 3.870534 3.901010
0 16 4 2 2 100000000 200 400 800 0.0 1.0 0.0 2 4.997376 1.484408 3.884293 4.997376 5.109746 5.154807
0 16 8 4 2 25000000 200 400 800 0.0 1.0 0.0 1 14.277394 11.034789 13.692309 14.277394 14.278076 14.719873
0 16 2 2 2 50000000 400 800 800 0.0 0.0 0.0 2 0.499776 0.417727 0.460062 0.499776 0.622071 0.743575
0 16 2 2 0 100000000 200 400 800 0.0 1.0 0.0 2 2.347325 1.365331 1.435801 2.347325 4.344693 4.515492
0 16 4 2 2 100000000 200 400 800 0.0 1.0 1.0 2 4.997376 1.484408 3.884293 4.997376 5.109746 5.154807
0 16 4 2 2 100000000 200 400 800 0.0 1.0 0.0 0 82.027340 23.468652 64.986107 82.027340 82.603860 82.750589
0 16 8 2 0 100000000 200 400 800 0.0 1.0 0.0 0 62.076499 60.817867 61.624497 62.076499 62.300619 62.404681
0 16 2 2 2 50000000 400 800 800 0.0 0.0 1.0 0 7.682512 5.881755 6.906731 7.682512 10.245134 11.615780
0 16 4 2 2 100000000 200 400 800 0.0 1.0 1.0 0 82.027340 23.468652 64.986107 82.027340 82.603860 82.750589
0 16 2 2 0 100000000 200 400 800 0.0 1.0 0.0 0 37.455349 20.194088 22.078692 37.455349 69.800103 72.180972
0 16 2 2 2 50000000 400 800 800 0.0 0.0 0.0 0 7.699034 6.329610 6.788320 7.699034 10.197866 11.384637
0 16 2 2 2 25000000 400 800 800 0.0 1.0 0.0 2 0.329809 0.192803 0.197402 0.329809 0.546626 0.566804
0 16 8 4 2 50000000 200 400 800 0.0 0.0 0.0 1 28.548034 22.906708 26.583261 28.548034 28.548102 29.623622
